recommendation,repository,number,url,title,state,merged_at,head_repo,head_branch,duplicate_count,repo_fit,repo_stars,currently_lists_openmagic,repo_archived,repo_pushed_at,changed_paths,added_lines
close_already_listed,ai-for-developers/awesome-ai-coding-tools,260,https://github.com/ai-for-developers/awesome-ai-coding-tools/pull/260,Add OpenMagic to Code Editors,open,,Kalmuraee/awesome-ai-coding-tools,openmagic-code-editors-aifor,2,high,2040,True,False,2026-04-25T10:30:08Z,README.md,- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** – Browser-side AI coding toolbar for live web app edits with context capture and approved diffs.
close_duplicate,0voice/awesome-ai-tools,6,https://github.com/0voice/awesome-ai-tools/pull/6,Add OpenMagic,open,,Kalmuraee/awesome-ai-tools-3,openmagic-add,3,high,429,False,False,2026-04-18T12:29:23Z,README.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,0voice/awesome-ai-tools,7,https://github.com/0voice/awesome-ai-tools/pull/7,Add OpenMagic to AI IDE,open,,Kalmuraee/awesome-ai-tools-3,openmagic-aiide,3,high,429,False,False,2026-04-18T12:29:23Z,README.md,| OpenMagic | AI 驱动的浏览器侧编码工具栏，捕获页面上下文并在确认后应用 diff | 免费 | 中 | 需要在真实 Web 应用中快速编辑与验证的开发者 | [点击进入](https://github.com/Kalmuraee/OpenMagic) |
close_duplicate,ai-agents-simplified/Awesome-AI-Tools,1,https://github.com/ai-agents-simplified/Awesome-AI-Tools/pull/1,Add OpenMagic,open,,Kalmuraee/Awesome-AI-Tools-10,openmagic-add,2,high,2,False,False,2025-03-30T21:47:44Z,README.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,AI-Tools-Inc/awesome-ai-tools,18,https://github.com/AI-Tools-Inc/awesome-ai-tools/pull/18,Add OpenMagic,open,,Kalmuraee/awesome-ai-tools-5,openmagic-add,2,high,45,False,False,2024-08-25T00:31:31Z,README.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,altengineer/awesome-ai-repositories,17,https://github.com/altengineer/awesome-ai-repositories/pull/17,Add OpenMagic,open,,Kalmuraee/awesome-ai-repositories,openmagic-add,2,medium,136,False,False,2025-03-20T05:02:48Z,README.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,buainoai/awesome-ai-devtools-multilingual,2,https://github.com/buainoai/awesome-ai-devtools-multilingual/pull/2,Add OpenMagic to README.en.md,open,,Kalmuraee/awesome-ai-devtools-multilingual,openmagic-README.en.md,10,high,0,False,False,2026-02-24T08:35:35Z,i18n/README.en.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,buainoai/awesome-ai-devtools-multilingual,3,https://github.com/buainoai/awesome-ai-devtools-multilingual/pull/3,Add OpenMagic to README.de.md,open,,Kalmuraee/awesome-ai-devtools-multilingual,openmagic-README.de.md,10,high,0,False,False,2026-02-24T08:35:35Z,i18n/README.de.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,buainoai/awesome-ai-devtools-multilingual,4,https://github.com/buainoai/awesome-ai-devtools-multilingual/pull/4,Add OpenMagic to README.es.md,open,,Kalmuraee/awesome-ai-devtools-multilingual,openmagic-README.es.md,10,high,0,False,False,2026-02-24T08:35:35Z,i18n/README.es.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,buainoai/awesome-ai-devtools-multilingual,5,https://github.com/buainoai/awesome-ai-devtools-multilingual/pull/5,Add OpenMagic to README.fr.md,open,,Kalmuraee/awesome-ai-devtools-multilingual,openmagic-README.fr.md,10,high,0,False,False,2026-02-24T08:35:35Z,i18n/README.fr.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,buainoai/awesome-ai-devtools-multilingual,6,https://github.com/buainoai/awesome-ai-devtools-multilingual/pull/6,Add OpenMagic to README.ja.md,open,,Kalmuraee/awesome-ai-devtools-multilingual,openmagic-README.ja.md,10,high,0,False,False,2026-02-24T08:35:35Z,i18n/README.ja.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,buainoai/awesome-ai-devtools-multilingual,7,https://github.com/buainoai/awesome-ai-devtools-multilingual/pull/7,Add OpenMagic to README.ko.md,open,,Kalmuraee/awesome-ai-devtools-multilingual,openmagic-README.ko.md,10,high,0,False,False,2026-02-24T08:35:35Z,i18n/README.ko.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,buainoai/awesome-ai-devtools-multilingual,8,https://github.com/buainoai/awesome-ai-devtools-multilingual/pull/8,Add OpenMagic to README.pt.md,open,,Kalmuraee/awesome-ai-devtools-multilingual,openmagic-README.pt.md,10,high,0,False,False,2026-02-24T08:35:35Z,i18n/README.pt.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,buainoai/awesome-ai-devtools-multilingual,9,https://github.com/buainoai/awesome-ai-devtools-multilingual/pull/9,Add OpenMagic to README.ru.md,open,,Kalmuraee/awesome-ai-devtools-multilingual,openmagic-README.ru.md,10,high,0,False,False,2026-02-24T08:35:35Z,i18n/README.ru.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,buainoai/awesome-ai-devtools-multilingual,10,https://github.com/buainoai/awesome-ai-devtools-multilingual/pull/10,Add OpenMagic to README.zh.md,open,,Kalmuraee/awesome-ai-devtools-multilingual,openmagic-README.zh.md,10,high,0,False,False,2026-02-24T08:35:35Z,i18n/README.zh.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,cporter202/awesome-ai-tools,20,https://github.com/cporter202/awesome-ai-tools/pull/20,Add OpenMagic to Development & Website Creation,open,,Kalmuraee/awesome-ai-tools-2,openmagic-dev-web,3,high,263,False,False,2026-08-14T03:20:33Z,README.md,"### OpenMagic | **Website:** [OpenMagic](https://github.com/Kalmuraee/OpenMagic) | **Description:** OpenMagic is an AI-powered coding toolbar for any web app that captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,cporter202/awesome-ai-tools,22,https://github.com/cporter202/awesome-ai-tools/pull/22,Add OpenMagic to Content & Video Automation,open,,Kalmuraee/awesome-ai-tools-2,openmagic-content-video,3,high,263,False,False,2026-08-14T03:20:33Z,README.md,"### OpenMagic | **Website:** [OpenMagic](https://github.com/Kalmuraee/OpenMagic) | **Description:** OpenMagic is an AI-powered coding toolbar for any web app that captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,furudo-erika/awesome-ai-coding-tools,3,https://github.com/furudo-erika/awesome-ai-coding-tools/pull/3,Add OpenMagic,open,,Kalmuraee/awesome-ai-coding-tools-6,openmagic-add,2,high,2,False,False,2026-06-08T12:40:08Z,README.md,"*   **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - An AI-powered coding toolbar for any web app that captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,inmve/awesome-ai-coding-techniques,28,https://github.com/inmve/awesome-ai-coding-techniques/pull/28,Add OpenMagic to README.md,open,,Kalmuraee/awesome-ai-coding-techniques,openmagic-README_md,6,high,349,False,False,2025-11-26T21:43:56Z,README.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,inmve/awesome-ai-coding-techniques,29,https://github.com/inmve/awesome-ai-coding-techniques/pull/29,Add OpenMagic to README-es.md,open,,Kalmuraee/awesome-ai-coding-techniques,openmagic-README_es_md,6,high,349,False,False,2025-11-26T21:43:56Z,README-es.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,inmve/awesome-ai-coding-techniques,30,https://github.com/inmve/awesome-ai-coding-techniques/pull/30,Add OpenMagic to README-de.md,open,,Kalmuraee/awesome-ai-coding-techniques,openmagic-README_de_md,6,high,349,False,False,2025-11-26T21:43:56Z,README-de.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,inmve/awesome-ai-coding-techniques,31,https://github.com/inmve/awesome-ai-coding-techniques/pull/31,Add OpenMagic to README-fr.md,open,,Kalmuraee/awesome-ai-coding-techniques,openmagic-README_fr_md,6,high,349,False,False,2025-11-26T21:43:56Z,README-fr.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,inmve/awesome-ai-coding-techniques,32,https://github.com/inmve/awesome-ai-coding-techniques/pull/32,Add OpenMagic to README-jp.md,open,,Kalmuraee/awesome-ai-coding-techniques,openmagic-README_jp_md,6,high,349,False,False,2025-11-26T21:43:56Z,README-jp.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,kax168/awesome-ai-coding-agents,1,https://github.com/kax168/awesome-ai-coding-agents/pull/1,Add OpenMagic,open,,Kalmuraee/awesome-ai-coding-agents-1,openmagic-add,2,high,0,False,False,2026-03-15T18:01:32Z,README.md,### OpenMagic
close_duplicate,kax168/awesome-ai-coding-assistants-2026,1,https://github.com/kax168/awesome-ai-coding-assistants-2026/pull/1,Add OpenMagic,open,,Kalmuraee/awesome-ai-coding-assistants-2026,openmagic-add,2,high,0,False,False,2026-03-07T18:02:12Z,README.md,### OpenMagic | - [OpenMagic](https://github.com/Kalmuraee/OpenMagic)
close_duplicate,kax168/awesome-ai-coding-tools-2026,1,https://github.com/kax168/awesome-ai-coding-tools-2026/pull/1,Add OpenMagic,open,,Kalmuraee/awesome-ai-coding-tools-2026,openmagic-add,2,high,0,False,False,2026-03-10T18:02:30Z,README.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,kax168/awesome-ai-dev-tools-2026,1,https://github.com/kax168/awesome-ai-dev-tools-2026/pull/1,Add OpenMagic,open,,Kalmuraee/awesome-ai-dev-tools-2026,openmagic-add,2,high,0,False,False,2026-03-08T18:01:48Z,README.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,launchapp-dev/awesome-ai-coding-tools,1,https://github.com/launchapp-dev/awesome-ai-coding-tools/pull/1,Add OpenMagic to awesome-ai-coding-tools,open,,Kalmuraee/awesome-ai-coding-tools-3,openmagic-add,2,high,8,False,False,2026-08-14T09:18:02Z,README.md,"- [OpenMagic](https://github.com/Kalmuraee/OpenMagic) 🟢 — AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,natiixnt/Awesome-AI-Dev-Tools,1,https://github.com/natiixnt/Awesome-AI-Dev-Tools/pull/1,Add OpenMagic,open,,Kalmuraee/Awesome-AI-Dev-Tools-1,openmagic-add,2,medium,0,False,False,2026-03-11T17:07:08Z,README.md,"- **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** - AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy."
close_duplicate,openbestof/awesome-ai,52,https://github.com/openbestof/awesome-ai/pull/52,Add OpenMagic to awesome-ai,open,,Kalmuraee/awesome-ai,openmagic-add,9,high,585,False,False,2024-05-04T13:09:19Z,readme.md,"| **[OpenMagic](https://github.com/Kalmuraee/OpenMagic)** | OpenMagic | AI-powered coding toolbar for any web app. Captures element context, previews diffs, and applies approved changes through a reverse proxy. |  |"
close_duplicate,openbestof/awesome-ai,53,https://github.com/openbestof/awesome-ai/pull/53,Add OpenMagic to Code Assistant,open,,Kalmuraee/awesome-ai,openmagic-code-assistant,9,high,585,False,False,2024-05-04T13:09:19Z,readme.md,"| <img src=""https://github.com/Kalmuraee/OpenMagic"" width=""30"" height=""30""> | [OpenMagic](https://github.com/Kalmuraee/OpenMagic) | AI-powered coding toolbar for any web app that captures element context, previews diffs, and applies approved changes through a reverse proxy. | ![GitHub Repo stars](https://img.shields.io/github/stars/Kalmuraee/OpenMagic) | | | <img src=""https://github.com/Kalmuraee/OpenMagic"" width=""30"" height=""30""> | [OpenMagic](https://github.com/Kalmuraee/OpenMagic) | AI-powered coding toolbar for any web app that captures element context, previews diffs, and applies approved changes through a reverse proxy. | ![GitHub Repo stars](https://img.shields.io/github/stars/Kalmuraee/OpenMagic) | | | <img src=""https://github.com/Kalmuraee/OpenMagic"" width=""30"" height=""30""> | [OpenMagic](https://github.com/Kalmuraee/OpenMagic) | AI-powered coding toolbar for any web app that captures element context, previews diffs, and applies approved changes through a reverse proxy. | ![GitHub Repo stars](https://img.shields.io/github/stars/Kalmuraee/OpenMagic) |"
close_duplicate,openbestof/awesome-ai,54,https://github.com/openbestof/awesome-ai/pull/54,Add OpenMagic to Autonomous Agents,open,,Kalmuraee/awesome-ai,openmagic-autonomous-agents,9,high,585,False,False,2024-05-04T13:09:19Z,readme.md,"| <img src=""https://github.com/Kalmuraee/OpenMagic"" width=""30"" height=""30""> | [OpenMagic](https://github.com/Kalmuraee/OpenMagic) | AI-powered coding toolbar for any web app that captures element context, previews diffs, and applies approved changes through a reverse proxy. | ![GitHub Repo stars](https://img.shields.io/github/stars/Kalmuraee/OpenMagic) |"
close_duplicate,openbestof/awesome-ai,55,https://github.com/openbestof/awesome-ai/pull/55,Add OpenMagic to Knowledge Manager,open,,Kalmuraee/awesome-ai,openmagic-knowledge-manager,9,high,585,False,False,2024-05-04T13:09:19Z,readme.md,"| <img src=""https://github.com/Kalmuraee/OpenMagic"" width=""30"" height=""30""> | [OpenMagic](https://github.com/Kalmuraee/OpenMagic) | AI-powered coding toolbar for any web app that captures element context, previews diffs, and applies approved changes through a reverse proxy. | ![GitHub Repo stars](https://img.shields.io/github/stars/Kalmuraee/OpenMagic) |"
close_duplicate,openbestof/awesome-ai,56,https://github.com/openbestof/awesome-ai/pull/56,Add OpenMagic to LLMs ChatUI,open,,Kalmuraee/awesome-ai,openmagic-llms-chatui,9,high,585,False,False,2024-05-04T13:09:19Z,readme.md,"| <img src=""https://github.com/Kalmuraee/OpenMagic"" width=""30"" height=""30""> | [OpenMagic](https://github.com/Kalmuraee/OpenMagic) | AI-powered coding toolbar for any web app that captures element context, previews diffs, and applies approved changes through a reverse proxy. | ![GitHub Repo stars](https://img.shields.io/github/stars/Kalmuraee/OpenMagic) |"
